COUNTRY,ISO3,Total,Nutrition,Health,Mental Health and Care Practices,Food Security and Livelihoods,Water Sanitation and Hygiene,Disaster Risk Management,Therapeutic Feeding Programme,Supplementary Feeding Programme,Supplementation of Pregnant & Lactating Women,Blanket distribution of RUTF / RUSF,Blanket distribution of micro-nutrient powders,Reproductive Maternal Newborn and Child Health activities,Trainings (Health),Other Health projects,Care Practices,Mental Health,Trainings (FSL),Blanket/Canteens (<5 & pregnant & lactating women),Food Aid (in-kind),Food Assistance,Income Generating Activities,Livestock - Fishery - Veterinary interventions,Agricultural - Agroforestry interventions,Unrestricted cash distribution,m3 distributed,Trainings (WASH),TFP - Adults,TFP < 5,SFP - Adults,SFP <5,Care Practices - Prevention,Care Practices - Treatment,Trainings (Care Practices)
Afghanistan,AFG,128638,3107,3053,0,24047,98431,0,0,0,0,0,0,0,3053,0,0,0,603,0,0,3332,1194,0,5023,17076,0,9267,0,0,0,0,0,0,0
Bangladesh,BGD,207164,43417,33818,5968,54997,68964,0,4255,2498,2848,0,0,25077,8741,0,5270,63,10007,0,0,28501,20315,13922,10220,7758,0,268,113,4142,44,2454,2802,2468,635
Bolivia,BOL,5981,0,0,0,3481,1500,1000,0,0,0,0,0,0,0,0,0,0,3481,0,0,0,2481,1496,2831,0,0,150,0,0,0,0,0,0,0
Burkina Faso,BFA,291478,116650,1616,0,88078,85134,0,10801,14970,5388,0,0,767,849,0,0,0,312,6375,10500,2506,28812,686,71412,13209,0,1051,0,10801,0,14970,0,0,0
Cambodia,KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,CMR,51022,4608,466,20782,25166,0,0,1257,2292,702,0,0,0,466,0,12788,344,0,0,0,8946,2100,0,16221,0,0,0,289,968,429,1863,8769,4019,486
Central African Republic,CAF,254271,10288,259,23799,72798,147127,0,10072,0,0,0,0,0,259,0,18789,6378,282,0,5000,44511,9571,0,31522,0,1007,79,1236,8836,0,0,400,18389,512
Chad,TCD,588145,207266,188864,17195,83030,91790,0,25076,0,0,0,0,188107,757,0,4910,13428,802,18646,57092,52270,150,2050,13443,0,0,772,0,25076,0,0,344,4566,122
Colombia,COL,74322,7920,0,0,5781,54601,6020,190,0,399,0,7331,0,0,0,0,0,3394,0,0,3457,1063,0,0,0,0,36920,0,190,0,0,0,0,0
Djibouti,DJI,29834,3903,50,367,33,25481,0,1834,2069,0,0,0,0,50,0,331,0,33,0,0,0,0,0,0,0,0,69,0,1834,0,2069,331,0,36
Democratic Republic of the Congo,COD,335938,18169,2650,3734,47731,263654,0,18169,0,0,0,0,0,2650,0,56350,0,41081,0,0,6650,3607,0,37474,0,8807,3284,3389,14780,0,0,52616,3734,1867
Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,ETH,307295,71297,27583,12192,21139,175084,0,7459,21188,18018,0,0,26465,1118,0,10797,948,6904,0,0,0,1763,3195,8996,229,0,11610,446,7013,1040,20148,6520,4277,292
Georgia,GEO,2777,0,0,0,2284,493,0,0,0,0,0,0,0,0,0,0,0,2276,0,0,0,367,3,232,0,0,493,0,0,0,0,0,0,0
Guatemala,GTM,22712,611,572,111,19735,64,1619,36,193,0,382,0,0,572,0,111,0,6777,0,3060,9898,600,0,735,536,0,64,0,36,11,182,111,0,0
Guinea,GIN,111845,1008,0,37868,11030,61939,0,1008,0,0,0,0,0,0,0,37356,0,23,0,8368,2662,0,0,0,0,0,30272,10,998,0,0,37356,0,512
Haiti,HTI,440266,14743,11960,0,122333,291230,0,0,2783,0,0,0,0,11960,0,0,0,9414,24738,24738,65148,0,0,0,23033,150,1081,0,0,0,2783,0,0,0
India,IND,43427,7430,1447,34550,0,0,0,964,5211,0,0,0,0,1447,0,33585,0,0,0,0,0,0,0,0,0,0,0,0,964,0,5211,33585,0,965
Indonesia,IDN,2153,496,453,230,0,974,0,43,0,0,0,0,0,453,0,42,230,0,0,0,0,0,0,0,0,0,108,0,43,0,0,42,0,97
Iraq,IRQ,470230,0,0,38634,220999,210597,0,0,0,0,0,0,0,0,0,29915,8498,0,0,67145,146554,0,0,0,0,79597,1547,0,0,0,0,29915,0,1089
Côte d'Ivoire,CIV,1641386,396122,396566,0,0,848698,0,131,115,0,0,0,395876,690,0,0,0,0,0,0,0,0,0,0,0,0,1637,0,131,0,115,0,0,0
Jordan,JOR,43906,0,0,5283,6242,32381,0,0,0,0,0,0,0,0,0,4570,713,0,0,0,0,0,0,0,6242,0,10,0,0,0,0,4570,0,0
Kenya,KEN,369499,16725,234926,5771,0,112077,0,3693,6800,6232,0,0,232512,2414,0,52508,0,0,0,0,0,0,0,0,0,0,1013,0,3693,0,6800,46737,5771,2973
Lebanon,LBN,205209,0,3200,1600,166979,33430,0,0,0,0,0,0,1600,1600,0,1600,480,0,0,0,166779,200,0,0,0,320000,19000,0,0,0,0,1600,0,0
Liberia,LBR,166440,51476,1611,6083,4075,103195,0,9189,0,0,0,0,0,1611,0,0,3992,1023,0,0,0,1577,0,175,1750,0,716,715,8474,0,0,0,0,1398
Madagascar,MDG,44662,5105,2639,16979,14339,5600,0,525,1528,413,0,0,1003,1636,0,3689,12208,2367,0,0,0,370,3762,10110,0,0,244,0,525,0,1528,0,3689,1082
Mali,MLI,825303,47761,59024,0,41123,677395,0,13634,19098,5331,9698,0,1770,41,57213,0,0,248,0,19088,25040,0,962,2405,3367,0,2130,71,13563,64,19034,0,0,0
Mauritania,MRT,317223,10251,4616,112785,41856,147505,210,5286,3501,1464,0,0,3592,1024,0,117443,220,250,0,17545,27912,922,0,367,23244,322355,1873,0,5286,1464,2037,117223,220,1100
Mongolia,MNG,39307,0,0,0,0,39307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,0,0,0,0,0,0,0
Myanmar,MMR,111787,26920,1270,22081,13979,39081,8456,17525,2195,5930,0,0,0,1270,0,17232,1391,3706,0,4888,0,2396,1225,4263,0,0,8371,3489,14036,0,2195,995,16237,269
